iter	Logloss
0	0.667711003
1	0.6394434473
2	0.6205270399
3	0.6001255395
4	0.5743983494
5	0.5516102855
6	0.5336568923
7	0.5149250467
8	0.5012208683
9	0.4853631519
10	0.4657152187
11	0.4551267311
12	0.4391157385
13	0.4291136163
14	0.4176577608
15	0.4105226179
16	0.4022520689
17	0.3947068033
18	0.3828950052
19	0.372529985
20	0.3641499343
21	0.3540480476
22	0.3436129159
23	0.3317822018
24	0.3256678243
25	0.3160459217
26	0.3085611456
27	0.2980236516
28	0.291458366
29	0.2843488
30	0.276113741
31	0.2695997695
32	0.2658368928
33	0.2558665003
34	0.2499306812
35	0.24352326
36	0.2400682159
37	0.232970102
38	0.2273363462
39	0.2234470508
40	0.2163308505
41	0.2096826428
42	0.206265198
43	0.2000333664
44	0.1949188303
45	0.1886495305
46	0.1854697559
47	0.180971547
48	0.1766205226
49	0.173423453
50	0.1712144751
51	0.167442069
52	0.1631026842
53	0.1597345155
54	0.1561483591
55	0.1537952744
56	0.1521719551
57	0.1491153305
58	0.1476636032
59	0.1459681783
60	0.1432960113
61	0.1412759717
62	0.1381092657
63	0.13524814
64	0.1325033684
65	0.128529174
66	0.1265379792
67	0.1238113787
68	0.1224270797
69	0.120289307
70	0.1176348454
71	0.116172864
72	0.1145773266
73	0.1120874754
74	0.1103997877
75	0.1083072796
76	0.1061390586
77	0.104874903
78	0.1035004631
79	0.1013281437
80	0.09962282234
81	0.0976139926
82	0.09640934829
83	0.09461850565
84	0.09345183922
85	0.09207046605
86	0.09127528924
87	0.08945051125
88	0.08805819374
89	0.08646348045
90	0.08466495795
91	0.08357070323
92	0.08187768925
93	0.08088024157
94	0.07963954723
95	0.07873167137
96	0.07791459102
97	0.07656452052
98	0.0754934018
99	0.07391091374
100	0.07288692242
101	0.07206918645
102	0.07132107089
103	0.07029967276
104	0.06920125307
105	0.06826981351
106	0.06693860298
107	0.0658321818
108	0.06483348769
109	0.06353125863
110	0.06244152516
111	0.06163632897
112	0.06056743372
113	0.05978534184
114	0.05892363937
115	0.05858624937
116	0.05772210541
117	0.05703881148
118	0.05669694943
119	0.05597080208
120	0.05497799322
121	0.05423212061
122	0.05349861383
123	0.05275552127
124	0.0521709882
125	0.05169993683
126	0.0512738369
127	0.05057552818
128	0.04987934058
129	0.04933350915
130	0.04896798274
131	0.04827327
132	0.04770710592
133	0.04706263169
134	0.04651593733
135	0.04580652044
136	0.04514858103
137	0.04455953277
138	0.04413980662
139	0.04366222566
140	0.04313169712
141	0.04267826689
142	0.04219426305
143	0.0417404192
144	0.04138295865
145	0.0406638389
146	0.04028533906
147	0.03948634073
148	0.03898878089
149	0.03857256421
150	0.03817320615
151	0.03784387229
152	0.03752755293
153	0.03721769218
154	0.03690124815
155	0.03648404598
